UDI,Product ID,Type,air_temperature,process_temperature,rotational_speed,Torque,tool_wear,machine_failure,tool_wear_failure,heat_dissipation_failure,PWF_power_failure,OSF_overstrain_failure,RNF_random_failure,date
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,23/01/2009
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,24/01/2009
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,25/01/2009
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,26/01/2009
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,27/01/2009
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,28/01/2009
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,29/01/2009
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,30/01/2009
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,31/01/2009
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,01/02/2009
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,02/02/2009
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,03/02/2009
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,04/02/2009
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,05/02/2009
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,06/02/2009
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,07/02/2009
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,08/02/2009
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,09/02/2009
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10/02/2009
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,11/02/2009
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,12/02/2009
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,13/02/2009
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,14/02/2009
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,15/02/2009
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,16/02/2009
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,17/02/2009
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,18/02/2009
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,19/02/2009
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,20/02/2009
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,21/02/2009
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,22/02/2009
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,23/02/2009
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,24/02/2009
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,25/02/2009
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,26/02/2009
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,27/02/2009
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,28/02/2009
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,01/03/2009
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,02/03/2009
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,03/03/2009
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,04/03/2009
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,05/03/2009
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,06/03/2009
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,07/03/2009
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,08/03/2009
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,09/03/2009
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10/03/2009
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,11/03/2009
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,12/03/2009
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,13/03/2009
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,14/03/2009
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,15/03/2009
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,16/03/2009
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,17/03/2009
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,18/03/2009
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,19/03/2009
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,20/03/2009
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,21/03/2009
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,22/03/2009
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,23/03/2009
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,24/03/2009
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,25/03/2009
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,26/03/2009
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,27/03/2009
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,28/03/2009
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,29/03/2009
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,30/03/2009
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,31/03/2009
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,01/04/2009
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,02/04/2009
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,03/04/2009
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,04/04/2009
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,05/04/2009
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,06/04/2009
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,07/04/2009
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,08/04/2009
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,09/04/2009
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10/04/2009
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,11/04/2009
